"","Experiment","Season","Plot","Site","Region","Landuse","Block","Blockcode","Samplecode","Treatment","Littertype","Teabag.code","Initial.weight.including.bag..cord.and.label..g.","Initial.weight.tea.only..g.","Ashed.subsample.percentage.controll.initial.tea.only....","Ashed.initial.corrected.weight..tea.only..g.","Final.weight.including.bag.and.cord..no.label..g.","Final.weight..tea.only..g.","Final.weight.tea.only..from.ash.protocol.","Ashed.final.subsample.percentage.....","Ashed.final.corrected.weight..tea.only..g.","Burial.date","Recovery.date","incubation.time.red.and.green.tea..days.","Massloss..g..Ash.uncorrected","Massloss..g.","N.D..tree..m.","N.D.Mound..m.","Mound.type","Tree.with.ants","Moisture..","Temperature..C.","Lat","Long","Sign.of.termite.cheeting","Sign.of.hole.s.","Sign.of.roots","S","K","Massloss.per","N.per","C.per","P.per..SUA.","C.N","P.per..NMBU.","CLAY..","SILT..","SAND..","Class","OC..","Claycorr","Siltcorr","Sandcorr","Rain.sum","Site.ID"
"13","Main","Wet",13,"Makao","Dry","Agriculture","2","Dry_Ag2","Dry_Ag2_T5","Open","Green","G595",2.116,1.866,5.51,1.763,0.628,0.478,0.462,29.169,0.327,"31.01.2017","24.03.2017",52,1.389,1.436,11.4,31,"M",0,20.8,23.4,-3.39790402,34.83702798,"NO","YES","NO",0.13084376,NA,81.4520703346568,0.12,1.495,14.51,12.46503497,NA,21.13,3.09,75.78,"sandy clay loam",0.46,17.875196,15.148051,67.491718,204.2116611,"Makao.ag"
"14","Main","Wet",14,"Makao","Dry","Agriculture","2","Dry_Ag2","Dry_Ag2_T6","Open","Green","G609",2.089,1.839,5.51,1.738,0.498,0.347,0.309,16.034,0.259,"31.01.2017","24.03.2017",52,1.492,1.478,28.4,42.4,"M",0,15.7,24.1,-3.397854986,34.83687401,"NO","NO","NO",0.102276533,NA,85.0978135788262,0.12,1.495,14.51,12.46503497,NA,21.13,3.09,75.78,"sandy clay loam",0.46,17.875196,15.148051,67.491718,204.2116611,"Makao.ag"
"15","Main","Wet",15,"Makao","Dry","Agriculture","2","Dry_Ag2","Dry_Ag2_T7","Open","Green","G222",1.889,1.639,5.51,1.549,0.671,0.52,0.483,15.805,0.406,"31.01.2017","24.03.2017",52,1.119,1.142,15.8,30.4,"M",0,23.9,23.95,-3.397806035,34.83702396,"NO","NO","NO",0.172268941,NA,73.7895416397676,0.12,1.495,14.51,12.46503497,NA,21.13,3.09,75.78,"sandy clay loam",0.46,17.875196,15.148051,67.491718,204.2116611,"Makao.ag"
"16","Main","Wet",16,"Makao","Dry","Agriculture","2","Dry_Ag2","Dry_Ag2_T8","Open","Green","G405",2.056,1.806,5.51,1.707,0.702,0.551,0.499,15.725,0.42,"31.01.2017","24.03.2017",52,1.255,1.286,8,12.4,"M",0,17.5,24.05,-3.397766976,34.83718104,"NO","YES","YES",0.162426481,NA,75.3954305799649,0.12,1.495,14.51,12.46503497,NA,21.13,3.09,75.78,"sandy clay loam",0.46,17.875196,15.148051,67.491718,204.2116611,"Makao.ag"
"17","Main","Wet",17,"Makao","Dry","Agriculture","3","Dry_Ag3","Dry_Ag3_T1","Open","Green","G571",2.049,1.799,5.51,1.7,0.675,0.525,0.501,9.671,0.452,"01.02.2017","24.03.2017",51,1.275,1.248,NA,NA,"",NA,35.9,21.35,-3.385409033,34.81890103,"NO","NO","NO",0.190457262,NA,73.4117647058823,0.16,2.18,5.11,13.625,NA,54.08,21.26,24.65,"clay",1.84,62.001836,29.936614,9.811965,204.2116611,"Makao.ag"
"18","Main","Wet",18,"Makao","Dry","Agriculture","3","Dry_Ag3","Dry_Ag3_T2","Open","Green","G419",2.078,1.828,5.51,1.727,0.791,0.64,0.552,15.166,0.468,"01.02.2017","24.03.2017",51,1.188,1.259,NA,NA,"",NA,36.95,21.35,-3.385375002,34.81894,"NO","NO","YES",0.181937848,NA,72.9009843659525,0.16,2.18,5.11,13.625,NA,54.08,21.26,24.65,"clay",1.84,62.001836,29.936614,9.811965,204.2116611,"Makao.ag"
"19","Main","Wet",19,"Makao","Dry","Agriculture","3","Dry_Ag3","Dry_Ag3_T3","Open","Green","G240",2.117,1.867,5.51,1.764,0.887,0.736,0.657,18.48,0.536,"01.02.2017","24.03.2017",51,1.131,1.229,NA,NA,"",NA,39.3,21.1,-3.385358993,34.81899197,"NO","NO","NO",0.245536826,NA,69.6145124716553,0.16,2.18,5.11,13.625,NA,54.08,21.26,24.65,"clay",1.84,62.001836,29.936614,9.811965,204.2116611,"Makao.ag"
"20","Main","Wet",20,"Makao","Dry","Agriculture","3","Dry_Ag3","Dry_Ag3_T4","Open","Green","G524",1.962,1.712,5.51,1.618,0.716,0.566,0.495,12.986,0.43,"01.02.2017","24.03.2017",51,1.147,1.187,NA,NA,"",NA,40.05,21.35,-3.385396963,34.81897797,"NO","NO","NO",0.257315648,NA,73.4239802224969,0.16,2.18,5.11,13.625,NA,54.08,21.26,24.65,"clay",1.84,62.001836,29.936614,9.811965,204.2116611,"Makao.ag"
"21","Main","Wet",21,"Makao","Dry","Agriculture","3","Dry_Ag3","Dry_Ag3_T5","Open","Green","G699",1.984,1.734,5.51,1.639,0.739,0.588,0.538,10.099,0.484,"01.02.2017","24.03.2017",51,1.146,1.155,NA,NA,"",NA,34.15,20.6,-3.385401992,34.81894604,"NO","NO","YES",0.307148622,NA,70.4697986577181,0.16,2.18,5.11,13.625,NA,54.08,21.26,24.65,"clay",1.84,62.001836,29.936614,9.811965,204.2116611,"Makao.ag"
"22","Main","Wet",22,"Makao","Dry","Agriculture","3","Dry_Ag3","Dry_Ag3_T6","Open","Green","G575",1.997,1.747,5.51,1.651,0.74,0.59,0.537,9.826,0.485,"01.02.2017","24.03.2017",51,1.158,1.166,NA,NA,"",NA,34.55,21.5,-3.385447003,34.81894696,"NO","NO","YES",0.160131083,NA,70.6238643246517,0.16,2.18,5.11,13.625,NA,54.08,21.26,24.65,"clay",1.84,62.001836,29.936614,9.811965,204.2116611,"Makao.ag"
"23","Main","Wet",23,"Makao","Dry","Agriculture","3","Dry_Ag3","Dry_Ag3_T7","Open","Green","G492",1.948,1.698,5.51,1.605,0.77,0.619,0.554,11.479,0.49,"01.02.2017","24.03.2017",51,1.079,1.114,NA,NA,"",NA,34.5,20.65,-3.385420013,34.81885602,"NO","NO","YES",0.188463828,NA,69.4704049844237,0.16,2.18,5.11,13.625,NA,54.08,21.26,24.65,"clay",1.84,62.001836,29.936614,9.811965,204.2116611,"Makao.ag"
"24","Main","Wet",24,"Makao","Dry","Agriculture","3","Dry_Ag3","Dry_Ag3_T8","Open","Green","G813",1.955,1.705,5.51,1.611,0.748,0.597,0.545,11.584,0.481,"01.02.2017","24.03.2017",51,1.108,1.13,NA,NA,"",NA,36.95,21.1,-3.385382965,34.81887798,"NO","NO","YES",0.200529331,NA,70.1427684667908,0.16,2.18,5.11,13.625,NA,54.08,21.26,24.65,"clay",1.84,62.001836,29.936614,9.811965,204.2116611,"Makao.ag"
"25","Main","Wet",25,"Makao","Dry","Agriculture","4","Dry_Ag4","Dry_Ag4_T1","Open","Green","G406",2.091,1.841,5.51,1.74,0.684,0.533,0.476,12.537,0.416,"01.02.2017","24.03.2017",51,1.308,1.323,NA,NA,"",NA,36.85,21.35,-3.384912992,34.81889902,"NO","NO","NO",0.295788446,NA,76.0919540229885,0.16,1.97,5.94,12.3125,NA,51.96,18.92,29.12,"clay",1.85,59.162732,28.032088,14.854572,204.2116611,"Makao.ag"
"26","Main","Wet",26,"Makao","Dry","Agriculture","4","Dry_Ag4","Dry_Ag4_T2","Open","Green","G651",1.97,1.72,5.51,1.625,0.776,0.625,0.571,12.512,0.499,"01.02.2017","24.03.2017",51,1.095,1.126,NA,NA,"",NA,31.3,20.7,-3.384969,34.818908,"NO","NO","YES",0.237557845,NA,69.2923076923077,0.16,1.97,5.94,12.3125,NA,51.96,18.92,29.12,"clay",1.85,59.162732,28.032088,14.854572,204.2116611,"Makao.ag"
"27","Main","Wet",27,"Makao","Dry","Agriculture","4","Dry_Ag4","Dry_Ag4_T3","Open","Green","G583",2.183,1.933,5.51,1.827,0.662,0.511,0.455,12.757,0.397,"01.02.2017","24.03.2017",51,1.422,1.43,NA,NA,"",NA,28.9,21.4,-3.384935036,34.81894302,"NO","NO","NO",NA,NA,78.2703886152162,0.16,1.97,5.94,12.3125,NA,51.96,18.92,29.12,"clay",1.85,59.162732,28.032088,14.854572,204.2116611,"Makao.ag"
"28","Main","Wet",28,"Makao","Dry","Agriculture","4","Dry_Ag4","Dry_Ag4_T4","Open","Green","G702",2.109,1.859,5.51,1.757,0.737,0.586,0.522,10.711,0.466,"01.02.2017","24.03.2017",51,1.273,1.291,NA,NA,"",NA,33.4,20.6,-3.385007037,34.81888896,"NO","NO","NO",NA,NA,73.4775184974388,0.16,1.97,5.94,12.3125,NA,51.96,18.92,29.12,"clay",1.85,59.162732,28.032088,14.854572,204.2116611,"Makao.ag"
"29","Main","Wet",29,"Makao","Dry","Agriculture","4","Dry_Ag4","Dry_Ag4_T5","Open","Green","G838",2.037,1.787,5.51,1.689,0.708,0.558,0.515,8.24,0.473,"01.02.2017","24.03.2017",51,1.23,1.216,NA,NA,"",NA,28.4,21.05,-3.384948028,34.81885401,"NO","NO","YES",0.220120293,NA,71.9952634695086,0.16,1.97,5.94,12.3125,NA,51.96,18.92,29.12,"clay",1.85,59.162732,28.032088,14.854572,204.2116611,"Makao.ag"
"30","Main","Wet",30,"Makao","Dry","Agriculture","4","Dry_Ag4","Dry_Ag4_T6","Open","Green","G518",1.995,1.745,5.51,1.649,0.682,0.531,0.482,11.01,0.429,"01.02.2017","24.03.2017",51,1.214,1.22,NA,NA,"",NA,26.9,20.7,-3.38496496,34.81879097,"NO","NO","YES",0.308730869,NA,73.9842328684051,0.16,1.97,5.94,12.3125,NA,51.96,18.92,29.12,"clay",1.85,59.162732,28.032088,14.854572,204.2116611,"Makao.ag"
"31","Main","Wet",31,"Makao","Dry","Agriculture","4","Dry_Ag4","Dry_Ag4_T7","Open","Green","G404",2.113,1.863,5.51,1.76,0.754,0.603,0.565,13.93,0.487,"01.02.2017","24.03.2017",51,1.26,1.274,NA,NA,"",NA,33,20.95,-3.384840991,34.818839,"NO","NO","YES",0.215672821,NA,72.3295454545455,0.16,1.97,5.94,12.3125,NA,51.96,18.92,29.12,"clay",1.85,59.162732,28.032088,14.854572,204.2116611,"Makao.ag"
"32","Main","Wet",32,"Makao","Dry","Agriculture","4","Dry_Ag4","Dry_Ag4_T8","Open","Green","G527",1.913,1.663,5.51,1.571,0.664,0.514,0.478,8.492,0.438,"01.02.2017","24.03.2017",51,1.149,1.134,NA,NA,"",NA,32.85,20.9,-3.384901006,34.81897999,"NO","NO","YES",0.34038553,NA,72.1196690006365,0.16,1.97,5.94,12.3125,NA,51.96,18.92,29.12,"clay",1.85,59.162732,28.032088,14.854572,204.2116611,"Makao.ag"
"33","Main","Wet",33,"Makao","Dry","Pasture","1","Dry_P1","Dry_P1_T1","Open","Green","G366",2.107,1.857,5.51,1.755,0.767,0.616,0.543,9.367,0.492,"30.01.2017","26.03.2017",55,1.241,1.263,9.5,17.2,"G",0,30.5,25.25,-3.409203999,34.85275101,"NO","NO","YES",0.25945622,NA,71.965811965812,0.15,1.73,15.89,11.53333333,0.135,23.96,0.92,75.12,"sandy clay loam",1.25,21.665132,13.381888,66.747172,204.2116611,"Makao.p"
"34","Main","Wet",34,"Makao","Dry","Pasture","1","Dry_P1","Dry_P1_T2","Open","Green","G516",2.116,1.866,5.51,1.763,0.873,0.722,0.705,39.314,0.428,"30.01.2017","26.03.2017",55,1.144,1.336,6.5,14.2,"G",0,21,25.55,-3.409235012,34.85278202,"YES","YES","YES",0.231143241,NA,75.723199092456,0.15,1.73,15.89,11.53333333,0.135,23.96,0.92,75.12,"sandy clay loam",1.25,21.665132,13.381888,66.747172,204.2116611,"Makao.p"
"35","Main","Wet",35,"Makao","Dry","Pasture","1","Dry_P1","Dry_P1_T3","Open","Green","G670",2.095,1.845,5.51,1.743,0.817,0.666,0.619,18.586,0.504,"30.01.2017","26.03.2017",55,1.179,1.239,0.7,10.6,"G",0,10.9,24.45,-3.409177009,34.85281899,"NO","NO","NO",NA,NA,71.0843373493976,0.15,1.73,15.89,11.53333333,0.135,23.96,0.92,75.12,"sandy clay loam",1.25,21.665132,13.381888,66.747172,204.2116611,"Makao.p"
"36","Main","Wet",36,"Makao","Dry","Pasture","1","Dry_P1","Dry_P1_T4","Open","Green","G507",1.99,1.74,5.51,1.644,0.681,0.53,0.485,8.301,0.445,"30.01.2017","26.03.2017",55,1.21,1.2,3.3,4.9,"G",1,14.1,24.75,-3.40917198,34.85296098,"NO","NO","YES",0.261346982,NA,72.9318734793187,0.15,1.73,15.89,11.53333333,0.135,23.96,0.92,75.12,"sandy clay loam",1.25,21.665132,13.381888,66.747172,204.2116611,"Makao.p"
"37","Main","Wet",37,"Makao","Dry","Pasture","1","Dry_P1","Dry_P1_T5","Open","Green","G359",1.979,1.729,5.51,1.634,0.947,0.796,0.667,25.172,0.499,"30.01.2017","26.03.2017",55,0.933,1.135,8.3,27.8,"G",0,19.3,24.55,-3.409070978,34.85271203,"YES","YES","NO",0.187023408,NA,69.4614443084455,0.15,1.73,15.89,11.53333333,0.135,23.96,0.92,75.12,"sandy clay loam",1.25,21.665132,13.381888,66.747172,204.2116611,"Makao.p"
"38","Main","Wet",38,"Makao","Dry","Pasture","1","Dry_P1","Dry_P1_T6","Open","Green","G499",1.942,1.692,5.51,1.599,1.474,1.324,0.533,18.803,0.433,"30.01.2017","26.03.2017",55,0.369,1.166,2,20.4,"O",0,20.9,24.1,-3.409280023,34.85261296,"YES","YES","YES",0.254228163,NA,72.9205753595998,0.15,1.73,15.89,11.53333333,0.135,23.96,0.92,75.12,"sandy clay loam",1.25,21.665132,13.381888,66.747172,204.2116611,"Makao.p"
"39","Main","Wet",39,"Makao","Dry","Pasture","1","Dry_P1","Dry_P1_T7","Open","Green","G214",1.985,1.735,5.51,1.64,0.833,0.682,0.609,9.946,0.549,"30.01.2017","26.03.2017",55,1.053,1.091,2.4,18,"G",1,26.9,23.3,-3.40938597,34.85285503,"NO","NO","YES",0.294235579,NA,66.5243902439024,0.15,1.73,15.89,11.53333333,0.135,23.96,0.92,75.12,"sandy clay loam",1.25,21.665132,13.381888,66.747172,204.2116611,"Makao.p"
"40","Main","Wet",40,"Makao","Dry","Pasture","1","Dry_P1","Dry_P1_T8","Open","Green","G582",2.022,1.772,5.51,1.674,0.898,0.747,0.654,16.508,0.546,"30.01.2017","26.03.2017",55,1.025,1.129,8.7,19.3,"G",0,31.9,23.9,-3.409153959,34.85275503,"NO","YES","NO",0.255206456,NA,67.3835125448029,0.15,1.73,15.89,11.53333333,0.135,23.96,0.92,75.12,"sandy clay loam",1.25,21.665132,13.381888,66.747172,204.2116611,"Makao.p"
"41","Main","Wet",41,"Makao","Dry","Pasture","2","Dry_P2","Dry_P2_T1","Open","Green","G453",2.079,1.829,5.51,1.728,1.051,0.9,0.826,20.03,0.661,"31.01.2017","26.03.2017",54,0.929,1.067,4,19.1,"G",0,21.9,24.5,-3.408342004,34.85028304,"NO","YES","YES",0.221625897,NA,61.7476851851852,0.17,1.96,24.05,11.52941176,NA,19.96,4.92,75.12,"sandy loam",1.64,16.308332,16.637488,66.747172,204.2116611,"Makao.p"
"42","Main","Wet",42,"Makao","Dry","Pasture","2","Dry_P2","Dry_P2_T2","Open","Green","G764",1.951,1.701,5.51,1.607,0.722,0.571,0.521,14.237,0.446,"31.01.2017","26.03.2017",54,1.13,1.161,5.9,12.7,"G",0,19,22.95,-3.408407969,34.85029503,"NO","YES","NO",0.277819588,NA,72.2464219041693,0.17,1.96,24.05,11.52941176,NA,19.96,4.92,75.12,"sandy loam",1.64,16.308332,16.637488,66.747172,204.2116611,"Makao.p"
"43","Main","Wet",43,"Makao","Dry","Pasture","2","Dry_P2","Dry_P2_T3","Open","Green","G690",2.074,1.824,5.51,1.724,0.715,0.565,0.493,10.605,0.44,"31.01.2017","26.03.2017",54,1.26,1.283,5,26.3,"G",0,18.3,21.8,-3.408236979,34.85019,"NO","YES","YES",0.295218621,NA,74.4779582366589,0.17,1.96,24.05,11.52941176,NA,19.96,4.92,75.12,"sandy loam",1.64,16.308332,16.637488,66.747172,204.2116611,"Makao.p"
"44","Main","Wet",44,"Makao","Dry","Pasture","2","Dry_P2","Dry_P2_T4","Open","Green","G774",2.005,1.755,5.51,1.658,0.896,0.745,0.674,8.346,0.618,"31.01.2017","26.03.2017",54,1.01,1.04,2.6,39.2,"G",0,20.6,22.65,-3.408152992,34.85016896,"NO","NO","YES",0.241232765,NA,62.7261761158022,0.17,1.96,24.05,11.52941176,NA,19.96,4.92,75.12,"sandy loam",1.64,16.308332,16.637488,66.747172,204.2116611,"Makao.p"
"45","Main","Wet",45,"Makao","Dry","Pasture","2","Dry_P2","Dry_P2_T5","Open","Green","G519",2.143,1.893,5.51,1.789,0.776,0.625,0.567,9.377,0.514,"31.01.2017","26.03.2017",54,1.268,1.275,2.3,9.3,"O",0,24.4,22.15,-3.408178976,34.85051698,"NO","NO","YES",NA,NA,71.2688652878703,0.17,1.96,24.05,11.52941176,NA,19.96,4.92,75.12,"sandy loam",1.64,16.308332,16.637488,66.747172,204.2116611,"Makao.p"
"46","Main","Wet",46,"Makao","Dry","Pasture","2","Dry_P2","Dry_P2_T6","Open","Green","G635",2.073,1.823,5.51,1.723,NA,NA,NA,NA,NA,"31.01.2017","26.03.2017",54,NA,NA,NA,NA,"",NA,22.5,20.1,-3.408473013,34.85040198,"NO","NO","NO",0.19985788,NA,NA,0.17,1.96,24.05,11.52941176,NA,19.96,4.92,75.12,"sandy loam",1.64,16.308332,16.637488,66.747172,204.2116611,"Makao.p"
"47","Main","Wet",47,"Makao","Dry","Pasture","2","Dry_P2","Dry_P2_T7","Open","Green","G539",2.122,1.872,5.51,1.769,0.807,0.656,0.587,11.917,0.517,"31.01.2017","26.03.2017",54,1.216,1.252,5.2,5.2,"G",0,23.7,22.6,-3.408481982,34.85002404,"NO","NO","YES",0.185246721,NA,70.7744488411532,0.17,1.96,24.05,11.52941176,NA,19.96,4.92,75.12,"sandy loam",1.64,16.308332,16.637488,66.747172,204.2116611,"Makao.p"
"48","Main","Wet",48,"Makao","Dry","Pasture","2","Dry_P2","Dry_P2_T8","Open","Green","G679",2.052,1.802,5.51,1.703,0.832,0.681,0.613,7.628,0.566,"31.01.2017","26.03.2017",54,1.121,1.137,7.3,27.2,"M",0,21.8,21.65,-3.408199009,34.85025496,"NO","NO","YES",0.302238781,NA,66.7645331767469,0.17,1.96,24.05,11.52941176,NA,19.96,4.92,75.12,"sandy loam",1.64,16.308332,16.637488,66.747172,204.2116611,"Makao.p"
"49","Main","Wet",49,"Makao","Dry","Pasture","3","Dry_P3","Dry_P3_T1","Open","Green","G346",2.012,1.762,5.51,1.665,1,0.85,0.752,20.217,0.6,"31.01.2017","26.03.2017",54,0.913,1.065,10.4,36,"M",1,26.2,26.55,-3.406225992,34.85055998,"NO","NO","YES",0.058422606,NA,63.963963963964,0.16,2.18,6.36,13.625,0.16,21.96,8.92,69.12,"sandy clay loam",1.75,18.986732,19.893088,59.978572,204.2116611,"Makao.p"
"50","Main","Wet",50,"Makao","Dry","Pasture","3","Dry_P3","Dry_P3_T2","Open","Green","G418",2.016,1.766,5.51,1.669,NA,NA,NA,NA,NA,"31.01.2017","26.03.2017",54,NA,NA,10,22.5,"M",1,31.4,22.4,-3.40626304,34.85056601,"NO","NO","NO",0.098800882,NA,NA,0.16,2.18,6.36,13.625,0.16,21.96,8.92,69.12,"sandy clay loam",1.75,18.986732,19.893088,59.978572,204.2116611,"Makao.p"
"51","Main","Wet",51,"Makao","Dry","Pasture","3","Dry_P3","Dry_P3_T3","Open","Green","G548",2.169,1.919,5.51,1.813,0.864,0.713,0.636,8.996,0.578,"31.01.2017","26.03.2017",54,1.206,1.235,3,18,"O",0,20.2,27.4,-3.406392038,34.85069602,"NO","NO","YES",0.070472824,NA,68.119139547711,0.16,2.18,6.36,13.625,0.16,21.96,8.92,69.12,"sandy clay loam",1.75,18.986732,19.893088,59.978572,204.2116611,"Makao.p"
"52","Main","Wet",52,"Makao","Dry","Pasture","3","Dry_P3","Dry_P3_T4","Open","Green","G638",2.041,1.791,5.51,1.692,1.075,0.924,0.77,30.655,0.534,"31.01.2017","26.03.2017",54,0.867,1.159,13.4,67,"M",1,29.8,25.8,-3.406157,34.850739,"NO","YES","YES",0.057335648,NA,68.4397163120567,0.16,2.18,6.36,13.625,0.16,21.96,8.92,69.12,"sandy clay loam",1.75,18.986732,19.893088,59.978572,204.2116611,"Makao.p"
