"","X","Experiment","Season","Plot","Site","Region","Landuse","Block","Blockcode","Samplecode","Treatment","Littertype","Teabag.code","Initial.weight.including.bag..cord.and.label..g.","Initial.weight.tea.only..g.","Ashed.subsample.percentage.controll.initial.tea.only....","Ashed.initial.corrected.weight..tea.only..g.","Final.weight.including.bag.and.cord..no.label..g.","Final.weight..tea.only..g.","Final.weight.tea.only..from.ash.protocol.","Ashed.final.subsample.percentage.....","Ashed.final.corrected.weight..tea.only..g.","Burial.date","Recovery.date","incubation.time.red.and.green.tea..days.","Massloss..g..Ash.uncorrected","Massloss..g.","N.D..tree..m.","N.D.Mound..m.","Mound.type","Tree.with.ants","Moisture..","Temperature..C.","Lat","Long","Sign.of.termite.cheeting","Sign.of.hole.s.","Sign.of.roots","S","K","Massloss.per","N.per","C.per","P.per..SUA.","C.N","P.per..NMBU.","CLAY..","SILT..","SAND..","Class","OC..","Claycorr","Siltcorr","Sandcorr","Rain.sum","Site.ID"
"1537",1537,"CG","Wet",193,"Makao","Dry","Agriculture",1,"Dry_Ag1","Dry_Ag1_CG4","Open","Green","G863",2.023,1.773,5.51,1.675,0.649,0.498,0.461,8.224,0.423,"03.02.2017","19.03.2017",44,1.275,1.252,15.2,12.2,"O",1,22.4,28.95,-2.439694991,34.83857403,"NO","NO","YES",0.152680348,NA,74.7462686567164,0.15,1.88,14.23,12.53333333,NA,12.57,0.97,86.47,"loamy sand",1.02,6.411644,13.422583,79.551107,204.2116611,"Makao.ag"
"1538",1538,"CG","Wet",194,"Makao","Dry","Agriculture",2,"Dry_Ag2","Dry_Ag2_CG3","Open","Green","G615",1.963,1.713,5.51,1.619,0.641,0.49,0.429,11.188,0.381,"03.02.2017","19.03.2017",44,1.223,1.238,7.9,7.9,"O",1,19.6,29.3,-2.439599019,34.83841896,"NO","NO","YES",0.165556324,NA,76.4669549104385,0.12,1.495,14.51,12.46503497,NA,21.13,3.09,75.78,"sandy clay loam",0.46,17.875196,15.148051,67.491718,204.2116611,"Makao.ag"
"1539",1539,"CG","Wet",195,"Makao","Dry","Agriculture",3,"Dry_Ag3","Dry_Ag3_CG2","Open","Green","G821",1.999,1.749,5.51,1.653,0.764,0.614,0.545,15.097,0.463,"03.02.2017","20.03.2017",45,1.136,1.19,5.13,5.13,"O",1,29.7,24.35,-2.439645035,34.83836599,"NO","NO","YES",0.112539118,NA,71.9903206291591,0.16,2.18,5.11,13.625,NA,54.08,21.26,24.65,"clay",1.84,62.001836,29.936614,9.811965,204.2116611,"Makao.ag"
"1540",1540,"CG","Wet",196,"Makao","Dry","Agriculture",4,"Dry_Ag4","Dry_Ag4_CG1","Open","Green","G754",2.061,1.811,5.51,1.711,0.645,0.495,0.487,10.498,0.436,"03.02.2017","20.03.2017",45,1.317,1.276,13.8,17.4,"O",1,23.75,25.25,-2.439403972,34.83840496,"NO","NO","YES",0.064433485,NA,74.5178258328463,0.16,1.97,5.94,12.3125,NA,51.96,18.92,29.12,"clay",1.85,59.162732,28.032088,14.854572,204.2116611,"Makao.ag"
"1541",1541,"CG","Wet",197,"Makao","Dry","Pasture",1,"Dry_P1","Dry_P1_CG2","Open","Green","G715",2.018,1.768,5.51,1.671,0.691,0.54,0.49,12.327,0.43,"03.02.2017","20.03.2017",45,1.228,1.241,5.13,5.13,"O",1,22.85,24.4,-2.439645035,34.83836599,"NO","NO","YES",0.135177076,NA,74.2669060442849,0.15,1.73,15.89,11.53333333,0.135,23.96,0.92,75.12,"sandy clay loam",1.25,21.665132,13.381888,66.747172,204.2116611,"Makao.p"
"1542",1542,"CG","Wet",198,"Makao","Dry","Pasture",2,"Dry_P2","Dry_P2_CG3","Open","Green","G785",2.008,1.758,5.51,1.661,0.647,0.496,0.46,9.372,0.417,"03.02.2017","19.03.2017",44,1.262,1.244,7.9,7.9,"O",1,20.9,27.45,-2.439599019,34.83841896,"NO","NO","YES",0.086814353,NA,74.894641782059,0.17,1.96,24.05,11.52941176,NA,19.96,4.92,75.12,"sandy loam",1.64,16.308332,16.637488,66.747172,204.2116611,"Makao.p"
"1543",1543,"CG","Wet",199,"Makao","Dry","Pasture",3,"Dry_P3","Dry_P3_CG1","Open","Green","G877",2.065,1.815,5.51,1.715,0.679,0.528,0.462,11.636,0.408,"03.02.2017","20.03.2017",45,1.287,1.307,13.8,17.4,"O",1,18.15,24.55,-2.439403972,34.83840496,"NO","NO","YES",0.101229005,NA,76.2099125364432,0.16,2.18,6.36,13.625,0.16,21.96,8.92,69.12,"sandy clay loam",1.75,18.986732,19.893088,59.978572,204.2116611,"Makao.p"
"1544",1544,"CG","Wet",200,"Makao","Dry","Pasture",4,"Dry_P4","Dry_P4_CG4","Open","Green","G816",2.014,1.764,5.51,1.667,0.671,0.521,0.499,11.089,0.443,"03.02.2017","19.03.2017",44,1.244,1.224,15.2,12.2,"O",1,22.8,27.9,-2.439694991,34.83857403,"NO","NO","YES",0.08392417,NA,73.4253149370126,0.17,2.15,3.04,12.64705882,NA,25.96,6.92,67.12,"sandy clay loam",1.76,24.343532,18.265288,57.722372,204.2116611,"Makao.p"
"1545",1545,"CG","Wet",201,"Maswa","Dry","Wild",3,"Dry_W3","Dry_W3_CG4","Open","Green","G811",1.993,1.743,5.51,1.647,0.566,0.416,0.413,11.712,0.365,"03.02.2017","19.03.2017",44,1.328,1.282,15.2,12.2,"O",1,22,28,-2.439694991,34.83857403,"NO","NO","YES",0.096543334,NA,77.8384942319369,0.22,2.55,65.92,11.59090909,1.2,38.69,26.81,34.5,"clay loam",2.55,41.391548,34.453759,20.92375,189.6394726,"Maswa"
"1546",1546,"CG","Wet",202,"Maswa","Dry","Wild",2,"Dry_W2","Dry_W2_CG1","Open","Green","G773",1.718,1.468,5.51,1.387,0.84,0.689,0.612,12.2,0.538,"03.02.2017","20.03.2017",45,0.779,0.85,13.8,17.4,"O",1,20.65,24.1,-2.439403972,34.83840496,"NO","NO","YES",0.11443571,NA,61.211247296323,0.27,3.12,51.82,11.55555556,NA,45.27,23.6,31.12,"clay",2.05,50.203484,31.84114,17.110772,189.6394726,"Maswa"
