Experiment;Season;Plot;Site;Region;Landuse;Block;Blockcode;Samplecode;Treatment;Littertype;Teabag code;Initial weight including bag, cord and label (g);Initial weight tea only (g);Ashed subsample percentage controll initial tea only (%);Ashed initial corrected weight  tea only (g);Final weight including bag and cord, no label (g);Final weight  tea only (g);Final weight tea only (from ash protocol);Ashed final subsample percentage  (%);Ashed final corrected weight  tea only (g);Burial date;Recovery date;incubation time red and green tea (days);Massloss (g) Ash uncorrected;Massloss (g);rain.sum (mm);CLAY %;SILT %;SAND %;Soil.Class;OC %;N.D. tree (m);N.D.Mound (m);Mound type;Tree with ants;Moisture %;Temperature (C);Lat;Long;Sign of termite cheeting;Sign of hole(s);Sign of roots ;S;K
Main;Wet;1;Makao;Dry;Agriculture;1;Dry_Ag1;Dry_Ag1_T1;Open;Green;G436;2.033;1.783;5.51;1.685;0.433;0.282;0.287;27.684;0.207;31.01.2017;24.03.2017;52;1.501;1.478;194.4383925;12.57;0.97;86.47;loamy sand;1.02;26.4;41;M;1;14.75;24.7;-3.397861;34.837608;NO;YES;NO;-0.043745471;
Main;Wet;2;Makao;Dry;Agriculture;1;Dry_Ag1;Dry_Ag1_T2;Open;Green;G568;2.006;1.756;5.51;1.659;0.629;0.478;0.441;8.503;0.403;31.01.2017;24.03.2017;52;1.278;1.256;194.4383925;12.57;0.97;86.47;loamy sand;2.02;22.4;39.8;M;1;13.1;24.9;-3.397879042;34.83753601;NO;NO;NO;;
Main;Wet;3;Makao;Dry;Agriculture;1;Dry_Ag1;Dry_Ag1_T3;Open;Green;G631;1.99;1.74;5.51;1.644;;;;;;31.01.2017;25.03.2017;53;;;;12.57;0.97;86.47;loamy sand;3.02;;;;;14.65;24.7;-3.397874;34.837579;NO;NO;NO;-0.008853158;
Main;Wet;4;Makao;Dry;Agriculture;1;Dry_Ag1;Dry_Ag1_T4;Open;Green;G652;2.024;1.774;5.51;1.676;;;;;;31.01.2017;24.03.2017;52;;;194.4383925;12.57;0.97;86.47;loamy sand;4.02;;;;;17.4;25.55;-3.39777804;34.83751204;NO;NO;NO;0.138455937;
Main;Wet;5;Makao;Dry;Agriculture;1;Dry_Ag1;Dry_Ag1_T5;Open;Green;G497;2.002;1.752;5.51;1.656;0.46;0.309;0.272;19.444;0.219;31.01.2017;24.03.2017;52;1.443;1.436;194.4383925;12.57;0.97;86.47;loamy sand;5.02;28.4;36.4;M;1;12.1;25.1;-3.397802012;34.83751204;NO;NO;NO;0.112815621;
Main;Wet;6;Makao;Dry;Agriculture;1;Dry_Ag1;Dry_Ag1_T6;Open;Green;G447;2.058;1.808;5.51;1.708;0.678;0.527;0.485;11.473;0.429;31.01.2017;24.03.2017;52;1.281;1.279;194.4383925;12.57;0.97;86.47;loamy sand;6.02;32.4;31;M;1;13.45;25.1;-3.39773898;34.83750198;NO;NO;NO;0.151954645;
Main;Wet;7;Makao;Dry;Agriculture;1;Dry_Ag1;Dry_Ag1_T7;Open;Green;G452;2.055;1.805;5.51;1.706;0.679;0.528;0.47;11.367;0.416;31.01.2017;24.03.2017;52;1.277;1.289;194.4383925;12.57;0.97;86.47;loamy sand;7.02;36;43.4;M;1;9.85;26.2;-3.397763036;34.83760097;NO;NO;NO;0.040156998;
Main;Wet;8;Makao;Dry;Agriculture;1;Dry_Ag1;Dry_Ag1_T8;Open;Green;G389;1.971;1.721;5.51;1.626;0.62;0.469;0.426;9.771;0.384;31.01.2017;24.03.2017;52;1.252;1.242;194.4383925;12.57;0.97;86.47;loamy sand;8.02;36;38.4;M;;10.6;25.5;-3.397732023;34.83756199;NO;YES;NO;0.148332558;
Main;Wet;9;Makao;Dry;Agriculture;2;Dry_Ag2;Dry_Ag2_T1;Open;Green;G514;1.935;1.685;5.51;1.592;0.595;0.444;0.434;9.293;0.394;31.01.2017;24.03.2017;52;1.241;1.198;194.4383925;21.13;3.09;75.78;sandy clay loam;0.46;10.8;28.4;M;0;14.5;24.4;-3.397829002;34.83701197;NO;NO;YES;0.143406125;
Main;Wet;10;Makao;Dry;Agriculture;2;Dry_Ag2;Dry_Ag2_T2;Open;Green;G286;2.071;1.821;5.51;1.721;0.802;0.651;0.598;14.321;0.512;31.01.2017;24.03.2017;52;1.17;1.209;194.4383925;21.13;3.09;75.78;sandy clay loam;1.46;16.8;30;M;0;14.65;24.3;-3.397811987;34.83696898;NO;NO;NO;0.216415403;
